InputID,TargetID,Distance
AN BURN F02 ,QR BURN C02 ,148841.698095296
AN BURN F02 ,QR BURN G01,148224.800394843
AN BURN F02 ,QR BURN G02 ,148748.877510871
AN BURN F02 ,QR BURN G03 ,149791.449267364
AN BURN F02 ,QR BURN G05,152485.264693477
AN BURN F02 ,QR BURN O01,148347.727149933
AN BURN F02 ,QR BURN O02 ,148880.710113219
AN BURN F02 ,QR BURN O03 ,149832.282081987
AN BURN F02 ,QR BURN O05,152467.748912891
AN BURN G04 ,AN BURN F01 ,1945.17186304362
AN BURN G04 ,AN BURN F02 ,1978.84278910087
AN BURN G04 ,AN BURN G05 ,567.592111760626
AN BURN G04 ,AN BURN S01 ,339.999007456639
AN BURN G04 ,AN BURN S02 ,726.624062919687
AN BURN G04 ,AN UNBURN F01 ,755.680799789281
AN BURN G04 ,AN UNBURN F02 ,807.11459926156
AN BURN G04 ,AN UNBURN G01 ,482.183916771683
AN BURN G04 ,AN UNBURN G03 ,553.19856951336
AN BURN G04 ,AN UNBURN S01 ,384.144451068015
AN BURN G04 ,AN UNBURN S02 ,750.761737802699
AN BURN G04 ,BC BURN G01 ,139690.271018829
AN BURN G04 ,BC BURN G02 ,139746.026578156
AN BURN G04 ,BC BURN G03 ,139715.075892063
AN BURN G04 ,BC BURN R01 ,138632.143287293
AN BURN G04 ,BC BURN R02 ,138687.212734177
AN BURN G04 ,BC BURN S01 ,138159.733136454
AN BURN G04 ,BC BURN S02 ,138365.837792831
AN BURN G04 ,BC UNBURN R01,136680.687324695
AN BURN G04 ,BC UNBURN R02   ,138981.751619516
AN BURN G04 ,BC UNBURN S01 ,138921.257646333
AN BURN G04 ,BC UNBURN S02 ,138867.320248167
AN BURN G04 ,BO BURN G01 ,58994.3139882464
AN BURN G04 ,BO BURN G02 ,59150.2575475103
AN BURN G04 ,BO BURN O01 ,60370.291920138
AN BURN G04 ,BO BURN O02 ,60204.8767535059
AN BURN G04 ,BO BURN O03 ,60051.4503458965
AN BURN G04 ,BO BURN S01 ,59609.2239076272
AN BURN G04 ,BO BURN S02 ,59813.5677260064
AN BURN G04 ,BO BURN S03 ,59944.4214169352
AN BURN G04 ,BO UNBURN G01 ,58923.5690342456
AN BURN G04 ,BO UNBURN G02 ,58899.5730135128
AN BURN G04 ,BO UNBURN O01 ,58815.574863733
AN BURN G04 ,BO UNBURN O02 ,59475.7895444212
AN BURN G04 ,BO UNBURN S01 ,58173.5006837705
AN BURN G04 ,BO UNBURN S02 ,58177.3138297298
AN BURN G04 ,BO UNBURN S03 ,58297.3475723209
AN BURN G04 ,HT BURN C01 ,109992.59442762
AN BURN G04 ,HT BURN C02,109861.577511155
AN BURN G04 ,HT BURN C03 ,109933.590375665
AN BURN G04 ,HT BURN G01 ,109802.610926938
AN BURN G04 ,HT BURN G02 ,109852.328661687
AN BURN G04 ,HT BURN G04 ,110043.499412535
AN BURN G04 ,HT BURN O01 ,109662.006494286
AN BURN G04 ,HT BURN O02 ,109415.087145162
AN BURN G04 ,HT BURN O03 ,109660.515858241
